degree abs_sup_error
1 0.5707963267948966192313221490365826727545819968023777751759795740435
3 7.51677707113496344244349324924150955056286703127837785043428462451e-2
5 4.52485553481741069607068085818554134889183012632084794227176848106e-3
7 1.568986005012774046147868273973336032123420112637726044311375407542e-4
9 3.542584286082417257874171332549085306357709346343927819525614627824e-6
11 5.62589491296680825843715695237156645752251172562181943838068594294e-8
13 6.627800900111855333810291253480640925588828475944591857359357854273e-10
