u abs_error rel_error
-3.125e-2 4.678025211312479119387640082444557645097767840361933113270127792072930813e-2 1.021320607755585075728951846344180518598952205815903885671672724196984253
-3.09375e-2 4.62955080683522813399953011932445561686614324695938648186151639997689573e-2 1.021110787900641377593611422199016628443213784697575830312051041760065008
-3.0625e-2 4.581110936363388591672611407452743831612922754456963426829263890561958914e-2 1.020900899274972602797795846821002276346263462929354471737863050328470921
-3.03125e-2 4.532705590225562715626739969429045367928476044215014115885531723112542467e-2 1.020690941889839640994658341118003736728311485776294512843094633750041648
-3e-2 4.484334758759701591441993009787873283736763757791435816425158920151461446e-2 1.020480915756496086160398190847217841943502365757999672243910230529623775
-2.96875e-2 4.435998432313093121495435348327180508656304450458237119305470017786194767e-2 1.020270820886188244059156721531203270318017669435858471402962426992233899
-2.9375e-2 4.387696601242349998791806089425195407179755516275789560376501743266941547e-2 1.020060657290155139697644361180627848976636114550187559756282234012701352
-2.90625e-2 4.339429255913397700150667446400251917900606524488562466936709920012623797e-2 1.019850424979628524769516426896699577047247587456692962886404867191190052
-2.875e-2 4.29119638670146249871264201859575345673967827183513312248047908787650859e-2 1.019640123965832885089515235215064539774793839026545493375474735683612193
-2.84375e-2 4.242997983991059495727448980343953967071852287058020390187888554916401278e-2 1.019429754259985448017396099928145165883151064348971734999043432089571751
-2.8125e-2 4.194834038175980671586533585906424104164093405087930293267601273534072628e-2 1.019219315873296189871654745084222888017587069653176388158195371206649585
-2.78125e-2 4.146704539659282956063168123532401391900054492932690401846093499704498245e-2 1.019008808816967843333073624908806421533535135197996154402155500136028721
-2.75e-2 4.098609478853276317722985965543192605613581993097044905909558178135792708e-2 1.018798233102195904838104606526737513548018402916254125742553336990686971
-2.71875e-2 4.050548846179511872467993660463890533996696566482574017504988631958365867e-2 1.018587588740168641962105435581837773948739594084508322809956864191354172
-2.6875e-2 4.00252263206877001117718909830337226090386387807540423033123718827632881e-2 1.018376875742067100792447369154461431119729420301800823621586096243640022
-2.65625e-2 3.95453082696104854640699665174835653857075056191252068811916579204001813e-2 1.018166094119065113291511324765858609518324098232274467160068627981522282
-2.625e-2 3.906573421305550878114812854903722834248683085744221007772994721989040732e-2 1.017955243882329304649589858731541757454573592810542986603873550864418071
-2.59375e-2 3.858650405560674178369038627893865149315848184381170828931530327926053223e-2 1.017744325043019100627712251683654614151776011233393792425277505898731741
-2.5625e-2 3.810761770193997595009056290751129430249294747658921551038092687936615765e-2 1.017533337612286734890409943724439744868249798781364720264440418536790837
-2.53125e-2 3.762907505682270474218691634167959734203989042688895899512111777576957572e-2 1.017322281601277256328439526399059035448069840903025283048986007036694372
