x abs_error rel_error
2.1875e-2 9.685727005181546219012804191884179924533949437990960411149087067387366413e-23 4.42811406183301916352434058065298968998576006188899594834375437588511709e-21
2.25e-2 1.054025277749899339522195718907472231092508791815792524289045480483407103e-22 4.684952072824968043806606057022398921321176973239255968998470782983240438e-21
2.3125e-2 1.144372644344020313242240188321053537357998208491548202971996281423417488e-22 4.94907954983720810683901053934084701187735100460751159336930471530384929e-21
2.375e-2 1.239754781315339092344303714793135805501162066469640658049683790581447489e-22 5.220510900417608847871045751496496451471883007985601292622637544567707116e-21
2.4375e-2 1.340312745346626985318210253734552685535645408782876716373829771116727826e-22 5.49926349506630047904846946067470305516547496638152410573072891302991324e-21
2.5e-2 1.446188889300718807015441726969710768746892587493554861989583063523174366e-22 5.785358179847676779824591320645699657099334610181595056131834916489385324e-21
2.5625e-2 1.557527120395460260422511651350034637476257897671804595588468017018190382e-22 6.078819861014490816616922416688011271963868859692245636167181806196407953e-21
2.625e-2 1.674473201257372965386639666679472956768887711592951028138806639392970841e-22 6.379678169522072283714489190109043548343071754026577128309675819785188036e-21
2.6875e-2 1.797175099632625803827652892564493390989890762165593010445399724148017236e-22 6.687968213940422966203783255251513526379228936252728098595849856864116587e-21
2.75e-2 1.92578339314096993788593726397893133837775167027580976433868948902233401e-22 7.00373143093440402584807878996374249929029982347315129890274599582128589e-21
2.8125e-2 2.060451736112001073632001021301428482191029242845986271015599178722803956e-22 7.3270165431782477503235671603161778497440446801679699601049504864802932e-21
2.875e-2 2.201337396245786613142238870734823033287920898683926909477132410369519263e-22 7.65788063530103965020525300456324587900856688555478428492423598047088268e-21
2.9375e-2 2.34860186959392441096018758270699056377654815839877105287880600874280677e-22 7.99639035922545718602472107382982379877402211249902624471259590901829739e-21
3e-2 2.502411583164927899601793584972347371247130886835345121150177743113492502e-22 8.34262328106375210009113442510052119401444815466466706919166703883436404e-21
3.0625e-2 2.6629386953219601676176084047919400178902723888591716034265637493328829e-22 8.6966693825735577530419242981021681915029669671506002918611147426290386e-21
