x abs_error
-1.570796326794896619231321691639751442098584699687552910487472 4.524855534817410696070677232283731239802830249341028982766407e-3
-1.555088363526947653039008474723353927677598852690677381382598 4.220307809578268647059532821665520237752916909977992766982364e-3
-1.539380400258998686846695257806956413256613005693801852277723 3.93342124868811424646451752372213351705280545446043731539807e-3
-1.523672436991049720654382040890558898835627158696926323172848 3.663341020737966803054127179835385461176680746547132970378351e-3
-1.507964473723100754462068823974161384414641311700050794067973 3.40924516470869227548010475771928544670885138714454267653719e-3
-1.492256510455151788269755607057763869993655464703175264963099 3.170343671202172298827498902412958267690982411072204349228314e-3
-1.476548547187202822077442390141366355572669617706299735858225 2.945877578676577829612751550719669062414124457475546208738587e-3
-1.460840583919253855885129173224968841151683770709424206753349 2.73511808467278227541748640270349241258299695954273976439275e-3
-1.445132620651304889692815956308571326730697923712548677648475 2.537365672015250135995071406466477022900782528938509862552156e-3
-1.4294246573833559235005027393921738123097120767156731485436 2.351949249967042454922459344379479273310332687712986993108006e-3
-1.413716694115406957308189522475776297888726229718797619438725 2.178225310314890676310061619368965014895913726415236715190656e-3
-1.39800873084745799111587630555937878346774038272192209033385 2.015577098356606730106871312382601205768166729013664367051367e-3
-1.382300767579509024923563088642981269046754535725046561228976 1.863413798759420241062089282699208013789421325334764408951065e-3
-1.366592804311560058731249871726583754625768688728171032124101 1.721169736254164577655203893205767841835120756915251728018439e-3
-1.350884841043611092538936654810186240204782841731295503019226 1.588303591126572933598784153541660347402626109279066768987503e-3
-1.335176877775662126346623437893788725783796994734419973914352 1.464297629463294669031618965821925026439485454837297257965634e-3
-1.319468914507713160154310220977391211362811147737544444809476 1.348656948106601632075374986479513672702284338518789640281963e-3
-1.303760951239764193961997004060993696941825300740668915704602 1.240908734268125032266143486909203293006282583553378509307991e-3
-1.288052987971815227769683787144596182520839453743793386599727 1.14060153974834654093135405514800805537077136448706269505338e-3
-1.272345024703866261577370570228198668099853606746917857494852 1.047304569704963542277626037840546040378245770141575204329392e-3
-1.256637061435917295385057353311801153678867759750042328389978 9.606069859096587419579176737106332024183745537800230656951435e-4
-1.240929098167968329192744136395403639257881912753166799285103 8.80117224429229542905772890057223691324820952674504501619332e-4
-1.225221134900019363000430919479006124836896065756291270180229 8.05462327663473603288220840153506418516517791952561006401577e-4
-1.209513171632070396808117702562608610415910218759415741075353 7.362872906686846766656995859094903545820153756605857081985754e-4
-1.193805208364121430615804485646211095994924371762540211970479 6.722544216920880738704158987488297988918462274474544399278086e-4
-1.178097245096172464423491268729813581573938524765664682865605 6.1304271683903874940574820243310984190659811915295968865332e-4
-1.162389281828223498231178051813416067152952677768789153760729 5.58347248791317967464765669762896449659372630751199161446222e-4
-1.146681318560274532038864834897018552731966830771913624655855 5.07878569491397604342516689628794930257227891559895075460545e-4
-1.13097335529232556584655161798062103831098098377503809555098 4.613621267040952504797193324404494364837313941430354539456832e-4
-1.115265392024376599654238401064223523889995136778162566446106 4.185376943636192368475333085509907035527013644986192881186102e-4
-1.09955742875642763346192518414782600946900928978128703734123 3.791588166106013716944790200689513943455159314204816583644022e-4
-1.083849465488478667269611967231428495048023442784411508236356 3.42992265420337374056720743589060958793949881507600558493225e-4
-1.068141502220529701077298750315030980627037595787535979131482 3.098175117201015633033608468586537208709088840860115486720468e-4
